time,total_beds,in,out,treatments,infections
5,500,7,0,0,7
1040,500,17,0,0,17
2052,500,24,0,0,24
3016,500,14,0,10,24
3062,500,36,0,10,46
4070,500,54,0,10,64
5073,500,62,0,10,72
6017,500,53,0,19,72
6080,500,77,0,19,96
7094,500,86,0,19,105
8106,500,95,0,19,114
9025,500,91,0,23,114
9120,500,98,0,23,121
10127,500,100,0,23,123
11130,500,112,0,23,135
12031,500,103,0,32,135
12139,500,107,0,32,139
13152,500,117,0,32,149
14180,500,130,0,32,162
15036,500,112,0,50,162
15192,500,114,0,50,164
16203,500,126,0,50,176
17216,500,148,0,50,198
18038,500,146,0,52,198
18224,500,153,0,52,205
19235,500,168,0,52,220
20248,500,185,0,52,237
21043,500,181,0,56,237
21261,500,192,0,56,248
22277,500,198,0,56,254
23289,500,218,0,56,274
24053,500,207,0,67,274
24302,500,216,0,67,283
25309,500,237,0,67,304
26320,500,241,0,67,308
27065,500,224,0,84,308
27331,500,238,0,84,322
28344,500,243,0,84,327
29349,500,259,0,84,343
30078,500,252,0,91,343
30358,500,265,0,91,356
31368,500,268,0,91,359
32378,500,291,0,91,382
33093,500,282,0,100,382
33388,500,283,0,100,383
34399,500,303,0,100,403
35411,500,323,0,100,423
36099,500,323,0,100,423
36425,500,345,0,100,445
37430,500,346,0,100,446
38439,500,369,0,100,469
39110,500,350,0,119,469
39452,500,372,0,119,491
40466,500,394,0,119,513
41480,500,408,0,119,527
42119,500,402,0,125,527
42491,500,411,0,125,536
43503,500,424,0,125,549
44513,500,427,0,125,552
45120,500,408,0,144,552
45522,500,416,0,144,560
46536,500,436,0,144,580
47549,500,443,0,144,587
48125,500,436,0,151,587
48561,500,458,0,151,609
49568,500,472,0,151,623
50583,500,497,0,151,648
51126,500,495,0,153,648
51593,500,500,1,153,654
52603,500,500,10,153,663
53613,500,500,23,153,676
54139,500,500,17,159,676
54620,500,500,26,159,685
55632,500,500,49,159,708
56639,500,500,69,159,728
57150,500,500,65,163,728
57647,500,500,68,163,731
58653,500,500,81,163,744
59664,500,500,93,163,756
60164,500,500,81,175,756
60664,500,500,85,175,760
